,city,lat,lng,max temp,humidity,wind speed,cloudiness,country,date
327,Todos Santos,23.45,-110.2167,87.04,61,8.25,10,MX,1666724264
328,Sydney,-33.8679,151.2073,65.5,82,4.61,0,AU,1666724101
329,Borba,-4.3878,-59.5939,82.31,75,5.26,100,BR,1666724265
330,Ngunguru,-35.6167,174.5,58.75,76,8.75,70,NZ,1666724265
331,Bowen,-20.0167,148.2333,76.57,94,4.43,88,AU,1666724266
332,Keelung,25.1283,121.7419,70.95,71,12.68,100,TW,1666724266
333,Caluquembe,-13.7833,14.6833,65.66,80,1.86,100,AO,1666724267
334,Puerto Madryn,-42.7692,-65.0385,63.79,40,10.83,94,AR,1666724267
335,Bandarbeyla,9.4942,50.8122,78.28,75,3.96,28,SO,1666724268
336,Lieksa,63.3167,30.0167,32.61,90,8.34,97,FI,1666724268
337,Mehamn,71.0357,27.8492,33.75,69,12.66,75,NO,1666724268
338,Oruzgan,32.8333,66.0,57.45,19,3.8,1,AF,1666724269
339,Novochernorechenskiy,56.2669,91.0828,29.19,64,4.09,7,RU,1666724269
340,Behshahr,36.6923,53.5526,62.55,86,3.42,1,IR,1666724270
341,Kodār,16.9833,79.9667,69.76,71,5.64,2,IN,1666724270
342,Thiadiaye,14.4205,-16.7056,85.01,57,10.02,100,SN,1666724270
343,Newport,51.5877,-2.9984,60.03,87,14.56,100,GB,1666724271
344,Pestravka,52.405,49.9583,38.26,71,8.16,100,RU,1666724271
345,Cassilândia,-19.1133,-51.7342,95.52,19,7.27,0,BR,1666724272
346,Manta,-0.95,-80.7333,76.78,69,13.8,100,EC,1666723843
347,Deming,32.2687,-107.7586,58.46,16,3.76,0,US,1666724200
348,Dzaoudzi,-12.7887,45.2699,78.69,78,9.22,40,YT,1666724272
349,Itarema,-2.9248,-39.9167,82.47,63,18.14,53,BR,1666724244
350,Balabac,7.9868,117.0645,80.82,79,8.25,100,PH,1666724273
351,Glendive,47.1053,-104.7125,47.48,62,18.01,27,US,1666724273
352,Bundaberg,-24.85,152.35,74.21,99,5.75,100,AU,1666724274
353,Ilhabela,-23.7781,-45.3581,71.24,78,4.63,56,BR,1666724274
354,Aguçadoura,41.4318,-8.7804,66.76,91,20.54,15,PT,1666724275
355,Cheyenne,41.14,-104.8203,50.23,36,18.01,75,US,1666724106
356,Rykhtychi,49.3851,23.5566,52.02,93,6.51,54,UA,1666724275
357,Plettenberg Bay,-34.0527,23.3716,58.87,84,7.54,100,ZA,1666724276
